Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Atila Tavares,atilartavares,São Paulo,10000,5,4,1,0,50680,576,0,56806,R$0.20,0.00%,R$0.00,R$0.20,1.14%,0.00%,0,0,
Carolina Tenório,catenorio,São Paulo,11000,9,8,1,0,1514352,885,0,762077,R$0.01,0.00%,R$0.00,R$0.01,0.06%,0.00%,0,0,
Diogo Almeida,diogo.almeida,São Paulo,26500,9,8,1,0,71979,1961,0,49996,R$0.36,0.00%,R$0.00,R$0.37,2.72%,0.00%,0,0,
Gabriela Hebling,gabhebling,Rio de Janeiro,14000,9,3,1,0,2383969,983,0,1614390,R$0.01,0.00%,R$0.00,R$0.01,0.04%,0.00%,0,0,
Éric borges,eericborges,São Paulo,2500,8,7,1,0,23510,1020,71,21271,R$2.45,0.00%,R$35.21,R$0.10,9.69%,0.00%,0,0,
Serginho,realserginho,São Paulo,4000,11,10,1,0,13705,444,49,6775,R$9.00,0.00%,R$81.63,R$0.29,0.09%,0.00%,0,0,
Paulo Gomiz,paulogomiz,São Paulo,2500,11,10,1,0,44050,1645,62,20606,R$1.51,0.00%,R$40.32,R$0.06,3.04%,0.00%,0,0,
Tatha falcão,thatha_falcão,São Paulo,1500,10,9,1,0,50714,5975,145,30400,R$0.25,0.00%,R$10.34,R$0.02,4.76%,0.00%,0,0,
Leo oliveira,yesdadx,São Paulo,500,10,9,1,0,10171,887,48,9855,R$0.56,0.00%,R$10.41,R$0.05,5.28%,0.00%,0,0,
Vivi,vivi,São Paulo,0,2,2,0,0,817515,0,0,817515,R$0.00,0.00%,R$0.00,R$0.00,0.84%,0.00%,0,0,
Pedro argueles,pedroargueles,São Paulo,0,2,2,0,0,8650,0,0,8650,R$0.00,0.00%,R$0.00,R$0.00,1.00%,0.00%,0,0,
Ju Cassini,jumcassini,São Paulo,1667,1,1,0,0,28493,370,0,28493,R$0.06,0.00%,R$0.00,R$0.06,1.30%,0.00%,0,0,
Camila Viseu,camiviseu,São Paulo,1667,1,1,0,0,32645,2863,0,32645,R$0.05,0.00%,R$0.00,R$0.05,8.77%,0.00%,0,0,
Cinthia Cruz,cinthiacruz_,São Paulo,1667,1,1,0,0,62780,269,0,62780,R$0.03,0.00%,R$0.00,R$0.03,0.43%,0.00%,0,0,
Felipe Pileggi,felipepileggi,São Paulo,1667,1,1,0,0,37619,1741,0,37619,R$0.04,0.00%,R$0.00,R$0.04,4.63%,0.00%,0,0,
